Kuukausi,Polttoneste,Hinta
1995-04-01,"Dieselöljy, snt/l",59.5
1995-04-01,"Kevyt polttoöljy, snt/l",24.1
1995-04-01,"Kevyt polttoöljy, eur/MWh",24.2
1995-05-01,"Moottoribensiini 95 E 10, snt/l",82.2
1995-05-01,"Dieselöljy, snt/l",58.4
1995-05-01,"Kevyt polttoöljy, snt/l",23.6
1995-05-01,"Kevyt polttoöljy, eur/MWh",23.7
1995-06-01,"Moottoribensiini 95 E 10, snt/l",81.1
1995-06-01,"Dieselöljy, snt/l",58.2
1995-06-01,"Kevyt polttoöljy, snt/l",24.1
1995-06-01,"Kevyt polttoöljy, eur/MWh",24.2
1995-07-01,"Moottoribensiini 95 E 10, snt/l",81.6
1995-07-01,"Dieselöljy, snt/l",58.0
1995-07-01,"Kevyt polttoöljy, snt/l",22.9
1995-07-01,"Kevyt polttoöljy, eur/MWh",23.0
1995-08-01,"Moottoribensiini 95 E 10, snt/l",81.4
1995-08-01,"Dieselöljy, snt/l",57.4
1995-08-01,"Kevyt polttoöljy, snt/l",22.5
1995-08-01,"Kevyt polttoöljy, eur/MWh",22.6
1995-09-01,"Moottoribensiini 95 E 10, snt/l",79.7
1995-09-01,"Dieselöljy, snt/l",58.2
1995-09-01,"Kevyt polttoöljy, snt/l",23.7
1995-09-01,"Kevyt polttoöljy, eur/MWh",23.8
1995-10-01,"Moottoribensiini 95 E 10, snt/l",80.2
1995-10-01,"Dieselöljy, snt/l",57.7
1995-10-01,"Kevyt polttoöljy, snt/l",22.7
1995-10-01,"Kevyt polttoöljy, eur/MWh",22.8
1995-11-01,"Moottoribensiini 95 E 10, snt/l",80.4
1995-11-01,"Dieselöljy, snt/l",58.7
1995-11-01,"Kevyt polttoöljy, snt/l",22.4
1995-11-01,"Kevyt polttoöljy, eur/MWh",22.5
1995-12-01,"Moottoribensiini 95 E 10, snt/l",80.2
1995-12-01,"Dieselöljy, snt/l",60.0
1995-12-01,"Kevyt polttoöljy, snt/l",24.1
1995-12-01,"Kevyt polttoöljy, eur/MWh",24.2
1996-01-01,"Moottoribensiini 95 E 10, snt/l",90.0
1996-01-01,"Dieselöljy, snt/l",60.6
1996-01-01,"Kevyt polttoöljy, snt/l",25.2
1996-01-01,"Kevyt polttoöljy, eur/MWh",25.3
1996-02-01,"Moottoribensiini 95 E 10, snt/l",89.3
1996-02-01,"Dieselöljy, snt/l",61.6
1996-02-01,"Kevyt polttoöljy, snt/l",26.6
1996-02-01,"Kevyt polttoöljy, eur/MWh",26.7
1996-03-01,"Moottoribensiini 95 E 10, snt/l",88.8
1996-03-01,"Dieselöljy, snt/l",62.2
1996-03-01,"Kevyt polttoöljy, snt/l",25.9
1996-03-01,"Kevyt polttoöljy, eur/MWh",26.0
1996-04-01,"Moottoribensiini 95 E 10, snt/l",93.2
1996-04-01,"Dieselöljy, snt/l",63.1
1996-04-01,"Kevyt polttoöljy, snt/l",26.6
1996-04-01,"Kevyt polttoöljy, eur/MWh",26.7
1996-05-01,"Moottoribensiini 95 E 10, snt/l",93.0
1996-05-01,"Dieselöljy, snt/l",62.7
1996-05-01,"Kevyt polttoöljy, snt/l",26.2
1996-05-01,"Kevyt polttoöljy, eur/MWh",26.4
1996-06-01,"Moottoribensiini 95 E 10, snt/l",92.5
1996-06-01,"Dieselöljy, snt/l",62.4
1996-06-01,"Kevyt polttoöljy, snt/l",25.4
1996-06-01,"Kevyt polttoöljy, eur/MWh",25.5
1996-07-01,"Moottoribensiini 95 E 10, snt/l",93.7
1996-07-01,"Dieselöljy, snt/l",62.9
1996-07-01,"Kevyt polttoöljy, snt/l",25.9
1996-07-01,"Kevyt polttoöljy, eur/MWh",26.0
1996-08-01,"Moottoribensiini 95 E 10, snt/l",92.3
1996-08-01,"Dieselöljy, snt/l",62.2
1996-08-01,"Kevyt polttoöljy, snt/l",25.4
1996-08-01,"Kevyt polttoöljy, eur/MWh",25.5
1996-09-01,"Moottoribensiini 95 E 10, snt/l",90.0
1996-09-01,"Dieselöljy, snt/l",63.1
1996-09-01,"Kevyt polttoöljy, snt/l",27.9
1996-09-01,"Kevyt polttoöljy, eur/MWh",28.0
1996-10-01,"Moottoribensiini 95 E 10, snt/l",92.7
1996-10-01,"Dieselöljy, snt/l",65.8
1996-10-01,"Kevyt polttoöljy, snt/l",30.8
1996-10-01,"Kevyt polttoöljy, eur/MWh",30.9
1996-11-01,"Moottoribensiini 95 E 10, snt/l",93.9
1996-11-01,"Dieselöljy, snt/l",65.6
1996-11-01,"Kevyt polttoöljy, snt/l",28.8
1996-11-01,"Kevyt polttoöljy, eur/MWh",28.9
1996-12-01,"Moottoribensiini 95 E 10, snt/l",94.5
1996-12-01,"Dieselöljy, snt/l",66.6
1996-12-01,"Kevyt polttoöljy, snt/l",29.6
1996-12-01,"Kevyt polttoöljy, eur/MWh",29.7
1997-01-01,"Moottoribensiini 95 E 10, snt/l",93.2
1997-01-01,"Dieselöljy, snt/l",65.8
1997-01-01,"Kevyt polttoöljy, snt/l",33.5
1997-01-01,"Kevyt polttoöljy, eur/MWh",33.6
1997-02-01,"Moottoribensiini 95 E 10, snt/l",90.2
1997-02-01,"Dieselöljy, snt/l",64.8
1997-02-01,"Kevyt polttoöljy, snt/l",30.8
1997-02-01,"Kevyt polttoöljy, eur/MWh",30.9
1997-03-01,"Moottoribensiini 95 E 10, snt/l",92.0
1997-03-01,"Dieselöljy, snt/l",64.3
1997-03-01,"Kevyt polttoöljy, snt/l",29.4
