"12ge -- Polttonesteiden kuluttajahinnat (sisältää alv:n), 1988M01-2025M03"

"Kuukausi","Polttoneste","Hinta","Hinta, vuosimuutos (%)"
"1992M09","Kevyt polttoöljy, snt/l",25.1,13.8
"1992M09","Kevyt polttoöljy, eur/MWh",25.2,14.0
"1992M10","Moottoribensiini 95 E 10, snt/l",79.2,7.3
"1992M10","Dieselöljy, snt/l",51.8,-4.1
"1992M10","Kevyt polttoöljy, snt/l",25.6,7.0
"1992M10","Kevyt polttoöljy, eur/MWh",25.7,7.1
"1992M11","Moottoribensiini 95 E 10, snt/l",79.1,5.4
"1992M11","Dieselöljy, snt/l",51.6,-6.1
"1992M11","Kevyt polttoöljy, snt/l",25.4,8.6
"1992M11","Kevyt polttoöljy, eur/MWh",25.5,8.5
"1992M12","Moottoribensiini 95 E 10, snt/l",78.4,8.9
"1992M12","Dieselöljy, snt/l",51.3,-3.2
"1992M12","Kevyt polttoöljy, snt/l",24.9,16.5
"1992M12","Kevyt polttoöljy, eur/MWh",25.0,16.3
"1993M01","Moottoribensiini 95 E 10, snt/l",77.2,1.3
"1993M01","Dieselöljy, snt/l",53.5,2.6
"1993M01","Kevyt polttoöljy, snt/l",26.7,23.2
"1993M01","Kevyt polttoöljy, eur/MWh",26.9,23.4
"1993M02","Moottoribensiini 95 E 10, snt/l",78.9,5.6
"1993M02","Dieselöljy, snt/l",54.3,5.2
"1993M02","Kevyt polttoöljy, snt/l",28.1,29.4
"1993M02","Kevyt polttoöljy, eur/MWh",28.2,29.4
"1993M03","Moottoribensiini 95 E 10, snt/l",80.7,10.1
"1993M03","Dieselöljy, snt/l",54.5,8.7
"1993M03","Kevyt polttoöljy, snt/l",28.9,37.6
"1993M03","Kevyt polttoöljy, eur/MWh",29.1,37.9
"1993M04","Moottoribensiini 95 E 10, snt/l",81.6,9.7
"1993M04","Dieselöljy, snt/l",54.2,8.8
"1993M04","Kevyt polttoöljy, snt/l",27.8,26.9
"1993M04","Kevyt polttoöljy, eur/MWh",27.9,26.8
"1993M05","Moottoribensiini 95 E 10, snt/l",80.4,6.0
"1993M05","Dieselöljy, snt/l",53.3,6.0
"1993M05","Kevyt polttoöljy, snt/l",26.9,17.7
"1993M05","Kevyt polttoöljy, eur/MWh",27.0,17.4
"1993M06","Moottoribensiini 95 E 10, snt/l",78.7,-0.6
"1993M06","Dieselöljy, snt/l",51.8,4.8
"1993M06","Kevyt polttoöljy, snt/l",26.6,17.9
"1993M06","Kevyt polttoöljy, eur/MWh",26.7,18.1
"1993M07","Moottoribensiini 95 E 10, snt/l",77.7,-0.2
"1993M07","Dieselöljy, snt/l",51.8,7.3
"1993M07","Kevyt polttoöljy, snt/l",27.1,22.9
"1993M07","Kevyt polttoöljy, eur/MWh",27.2,23.1
"1993M08","Moottoribensiini 95 E 10, snt/l",76.9,0.4
"1993M08","Dieselöljy, snt/l",51.1,8.2
"1993M08","Kevyt polttoöljy, snt/l",27.3,27.6
"1993M08","Kevyt polttoöljy, eur/MWh",27.4,27.4
"1993M09","Moottoribensiini 95 E 10, snt/l",75.7,-3.2
"1993M09","Dieselöljy, snt/l",50.5,0.7
"1993M09","Kevyt polttoöljy, snt/l",27.4,9.4
